State,Date,Vehicle Category,Registrations
KA,2015-01-01,FOUR WHEELER (Invalid Carriage),0
KA,2015-01-01,HEAVY GOODS VEHICLE,0
KA,2015-01-01,HEAVY MOTOR VEHICLE,0
KA,2015-01-01,HEAVY PASSENGER VEHICLE,0
KA,2015-01-01,LIGHT GOODS VEHICLE,0
KA,2015-01-01,LIGHT MOTOR VEHICLE,28
KA,2015-01-01,LIGHT PASSENGER VEHICLE,0
KA,2015-01-01,MEDIUM GOODS VEHICLE,0
KA,2015-01-01,MEDIUM MOTOR VEHICLE,0
KA,2015-01-01,MEDIUM PASSENGER VEHICLE,0
KA,2015-01-01,OTHER THAN MENTIONED ABOVE,0
KA,2015-01-01,THREE WHEELER (Invalid Carriage),0
KA,2015-01-01,THREE WHEELER(NT),0
KA,2015-01-01,THREE WHEELER(T),0
KA,2015-01-01,TWO WHEELER (Invalid Carriage),0
KA,2015-01-01,TWO WHEELER(NT),3
KA,2015-01-01,TWO WHEELER(T),0
KA,2015-02-01,FOUR WHEELER (Invalid Carriage),0
KA,2015-02-01,HEAVY GOODS VEHICLE,0
KA,2015-02-01,HEAVY MOTOR VEHICLE,0
KA,2015-02-01,HEAVY PASSENGER VEHICLE,0
KA,2015-02-01,LIGHT GOODS VEHICLE,0
KA,2015-02-01,LIGHT MOTOR VEHICLE,20
KA,2015-02-01,LIGHT PASSENGER VEHICLE,0
KA,2015-02-01,MEDIUM GOODS VEHICLE,0
KA,2015-02-01,MEDIUM MOTOR VEHICLE,0
KA,2015-02-01,MEDIUM PASSENGER VEHICLE,0
KA,2015-02-01,OTHER THAN MENTIONED ABOVE,0
KA,2015-02-01,THREE WHEELER (Invalid Carriage),0
KA,2015-02-01,THREE WHEELER(NT),0
KA,2015-02-01,THREE WHEELER(T),2
KA,2015-02-01,TWO WHEELER (Invalid Carriage),0
KA,2015-02-01,TWO WHEELER(NT),1
KA,2015-02-01,TWO WHEELER(T),0
KA,2015-03-01,FOUR WHEELER (Invalid Carriage),0
KA,2015-03-01,HEAVY GOODS VEHICLE,0
KA,2015-03-01,HEAVY MOTOR VEHICLE,0
KA,2015-03-01,HEAVY PASSENGER VEHICLE,0
KA,2015-03-01,LIGHT GOODS VEHICLE,0
KA,2015-03-01,LIGHT MOTOR VEHICLE,14
KA,2015-03-01,LIGHT PASSENGER VEHICLE,0
KA,2015-03-01,MEDIUM GOODS VEHICLE,0
KA,2015-03-01,MEDIUM MOTOR VEHICLE,0
KA,2015-03-01,MEDIUM PASSENGER VEHICLE,0
KA,2015-03-01,OTHER THAN MENTIONED ABOVE,0
KA,2015-03-01,THREE WHEELER (Invalid Carriage),0
KA,2015-03-01,THREE WHEELER(NT),0
KA,2015-03-01,THREE WHEELER(T),0
KA,2015-03-01,TWO WHEELER (Invalid Carriage),0
KA,2015-03-01,TWO WHEELER(NT),2
KA,2015-03-01,TWO WHEELER(T),0
KA,2015-04-01,FOUR WHEELER (Invalid Carriage),0
KA,2015-04-01,HEAVY GOODS VEHICLE,0
KA,2015-04-01,HEAVY MOTOR VEHICLE,0
KA,2015-04-01,HEAVY PASSENGER VEHICLE,0
KA,2015-04-01,LIGHT GOODS VEHICLE,0
KA,2015-04-01,LIGHT MOTOR VEHICLE,14
KA,2015-04-01,LIGHT PASSENGER VEHICLE,0
KA,2015-04-01,MEDIUM GOODS VEHICLE,0
